"ID";"trials_runs.thisN";"secondStim";"trials_runs.visual_stim_left";"trials_runs.visual_stim_right";"trials_runs.correctKey";"trials_runs.presentationFrequncy";"response_runs.keys";"response_runs.rt";"trials_runs.correct_answer";"trials_runs.feedback_given";"session";"tsDifficulty";"prob.Feedback";"totalAccuracy";"totalError";"outlier200ms";"outlierSD";"omission";"validTrials";"modality";"stimType";"logfile"
"CBC_1027";"29";"0";"0";"1";"b";"63";"b";"1,08457400000042981";"1";"1";"3";"hard";"0,95";"0,666666666666667";"0,3333333333333334";"0";"0";"0";"1";"av";"env";"CBC_1027_MSI_AV_v3_Vset6_Aset2_2023-07-21_17h56.54.977.csv"
"CBC_1027";"30";"2";"0";"1";"z";"63";"z";"1,29845579999891925";"1";"1";"3";"hard";"0,95";"0,677419354838710";"0,3225806451612904";"0";"0";"0";"1";"av";"env";"CBC_1027_MSI_AV_v3_Vset6_Aset2_2023-07-21_17h56.54.977.csv"
"CBC_1027";"31";"3";"1";"3";"z";"27";"z";"2,30686659999992116";"1";"1";"3";"hard";"0,95";"0,687500000000000";"0,3125000000000000";"0";"0";"0";"1";"av";"env";"CBC_1027_MSI_AV_v3_Vset6_Aset2_2023-07-21_17h56.54.977.csv"
"CBC_1027";"32";"1";"2";"3";"b";"63";"b";"0,83457209999687620";"1";"1";"3";"hard";"0,95";"0,696969696969697";"0,3030303030303030";"0";"0";"0";"1";"av";"env";"CBC_1027_MSI_AV_v3_Vset6_Aset2_2023-07-21_17h56.54.977.csv"
"CBC_1027";"33";"2";"0";"1";"z";"63";"z";"0,81098009999914211";"1";"1";"3";"hard";"0,95";"0,705882352941177";"0,2941176470588235";"0";"0";"0";"1";"av";"env";"CBC_1027_MSI_AV_v3_Vset6_Aset2_2023-07-21_17h56.54.977.csv"
"CBC_1027";"34";"0";"1";"0";"z";"63";"z";"1,64961329999641748";"1";"1";"3";"hard";"0,95";"0,714285714285714";"0,2857142857142857";"0";"0";"0";"1";"av";"env";"CBC_1027_MSI_AV_v3_Vset6_Aset2_2023-07-21_17h56.54.977.csv"
"CBC_1027";"35";"1";"2";"1";"b";"9";"b";"1,01661779999994906";"1";"1";"3";"hard";"0,95";"0,722222222222222";"0,2777777777777778";"0";"0";"0";"1";"av";"env";"CBC_1027_MSI_AV_v3_Vset6_Aset2_2023-07-21_17h56.54.977.csv"
"CBC_1027";"36";"0";"0";"1";"b";"63";"b";"1,47027249999518972";"1";"1";"3";"hard";"0,95";"0,729729729729730";"0,2702702702702703";"0";"0";"0";"1";"av";"env";"CBC_1027_MSI_AV_v3_Vset6_Aset2_2023-07-21_17h56.54.977.csv"
"CBC_1027";"37";"3";"1";"3";"z";"27";"z";"2,32207479999851785";"1";"1";"3";"hard";"0,95";"0,736842105263158";"0,2631578947368421";"0";"0";"0";"1";"av";"env";"CBC_1027_MSI_AV_v3_Vset6_Aset2_2023-07-21_17h56.54.977.csv"
"CBC_1027";"38";"2";"1";"0";"b";"63";"b";"1,35388719999536988";"1";"1";"3";"hard";"0,95";"0,743589743589744";"0,2564102564102564";"0";"0";"0";"1";"av";"env";"CBC_1027_MSI_AV_v3_Vset6_Aset2_2023-07-21_17h56.54.977.csv"
"CBC_1027";"39";"1";"3";"2";"z";"63";"z";"1,62152849999620230";"1";"0";"3";"hard";"0,95";"0,750000000000000";"0,2500000000000000";"0";"0";"0";"1";"av";"env";"CBC_1027_MSI_AV_v3_Vset6_Aset2_2023-07-21_17h56.54.977.csv"
"CBC_1027";"40";"0";"0";"2";"b";"27";"b";"1,19325729999764008";"1";"1";"3";"hard";"0,95";"0,756097560975610";"0,2439024390243902";"0";"0";"0";"1";"av";"env";"CBC_1027_MSI_AV_v3_Vset6_Aset2_2023-07-21_17h56.54.977.csv"
"CBC_1027";"41";"3";"2";"3";"z";"63";"z";"2,38454849999834551";"1";"1";"3";"hard";"0,95";"0,761904761904762";"0,2380952380952381";"0";"0";"0";"1";"av";"env";"CBC_1027_MSI_AV_v3_Vset6_Aset2_2023-07-21_17h56.54.977.csv"
"CBC_1027";"42";"2";"1";"3";"b";"27";"b";"2,64858509999612579";"1";"1";"3";"hard";"0,95";"0,767441860465116";"0,2325581395348837";"0";"0";"0";"1";"av";"env";"CBC_1027_MSI_AV_v3_Vset6_Aset2_2023-07-21_17h56.54.977.csv"
"CBC_1027";"43";"1";"3";"2";"z";"63";"z";"1,52843159999611089";"1";"1";"3";"hard";"0,95";"0,772727272727273";"0,2272727272727273";"0";"0";"0";"1";"av";"env";"CBC_1027_MSI_AV_v3_Vset6_Aset2_2023-07-21_17h56.54.977.csv"
"CBC_1027";"0";"0";"1";"0";"z";"63";"b";"2,79887790000429959";"0";"0";"4";"hard";"0,90";"0,000000000000000";"1,0000000000000000";"0";"0";"0";"1";"tv";"vib";"CBC_1027_MSI_TV_v3_Vset3_Tset3_2023-07-21_18h05.28.896.csv"
"CBC_1027";"1";"3";"3";"2";"b";"63";"z";"2,39605140000276151";"0";"0";"4";"hard";"0,90";"0,000000000000000";"1,0000000000000000";"0";"0";"0";"1";"tv";"vib";"CBC_1027_MSI_TV_v3_Vset3_Tset3_2023-07-21_18h05.28.896.csv"
"CBC_1027";"2";"1";"2";"0";"b";"27";"b";"2,95685370000501280";"1";"1";"4";"hard";"0,90";"0,333333333333333";"0,6666666666666667";"0";"0";"0";"1";"tv";"vib";"CBC_1027_MSI_TV_v3_Vset3_Tset3_2023-07-21_18h05.28.896.csv"
"CBC_1027";"3";"0";"1";"0";"z";"63";"z";"2,28536900000472087";"1";"1";"4";"hard";"0,90";"0,500000000000000";"0,5000000000000000";"0";"0";"0";"1";"tv";"vib";"CBC_1027_MSI_TV_v3_Vset3_Tset3_2023-07-21_18h05.28.896.csv"
