ID;EPIfilename;run;logfile;session;modality;stimType;version
CBC_1030;mr5340_cbc_1030_20230823_151132_3_1_epi_msi_tv_44slices_v3.nii;20230823_151132_3_1;CBC_1030_MSI_TV_v3_Vset3_Tset1_2023-08-23_15h04.35.874.csv;1;tv;vib;v3
CBC_1030;mr5340_cbc_1030_20230823_152003_4_1_epi_msi_av_44slices_v3.nii;20230823_152003_4_1;CBC_1030_MSI_AV_v3_Vset6_Aset3_2023-08-23_15h13.18.002.csv;2;av;env;v3
CBC_1030;mr5340_cbc_1030_20230823_160137_9_1_epi_msi_tv_44slices_v3.nii;20230823_160137_9_1;CBC_1030_MSI_TV_v3_Vset4_Tset3_2023-08-23_15h54.43.458.csv;3;tv;vib;v3
CBC_1030;mr5340_cbc_1030_20230823_161015_10_1_epi_msi_av_44slices_v3.nii;20230823_161015_10_1;CBC_1030_MSI_AV_v3_Vset1_Aset2_2023-08-23_16h03.31.849.csv;4;av;env;v3
CBC_1031;mr_cbc_1031_20231020_103219_3_1_epi_msi_av_44slices_v3.nii;20231020_103219_3_1;CBC_1031_MSI_AV_v3_Vset1_Aset1_2023-10-20_10h25.09.885.csv;1;av;env;v3
CBC_1031;mr_cbc_1031_20231020_104046_4_1_epi_msi_av_44slices_v3.nii;20231020_104046_4_1;CBC_1031_MSI_AV_v3_Vset2_Aset4_2023-10-20_10h33.42.698.csv;2;av;syll;v3
CBC_1031;mr_cbc_1031_20231020_121849_10_1_epi_msi_tv_44slices_v3.nii;20231020_121849_10_1;CBC_1031_MSI_TV_v3_Vset3_Tset1_2023-10-20_12h11.47.981.csv;3;tv;vib;v3
CBC_1031;mr_cbc_1031_20231020_122728_11_1_epi_msi_av_44slices_v3.nii;20231020_122728_11_1;CBC_1031_MSI_AV_v3_Vset6_Aset2_2023-10-20_12h20.15.905.csv;4;av;env;v3
CBC_1032;mr_cbc_1032_20231020_112841_3_1_epi_msi_av_44slices_v1.nii;20231020_112841_3_1;CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv;1;av;env;v1
CBC_1032;mr_cbc_1032_20231020_113812_4_1_epi_msi_tv_44slices_v1.nii;20231020_113812_4_1;CBC_1032_MSI_TV_v1_Vset3_Aset2_2023-10-20_11h31.15.953.csv;2;tv;vib;v1
CBC_1032;mr_cbc_1032_20231020_130939_9_1_epi_msi_av_44slices_v1.nii;20231020_130939_9_1;CBC_1032_MSI_AV_v1_Vset1_Aset5_2023-10-20_13h02.27.968.csv;3;av;syll;v1
CBC_1033;mr5361_cbc_1033_20231213_144939_3_1_epi_msi_av_44slices_v3.nii;20231213_144939_3_1;CBC_1033_MSI_AV_v3_Vset3_Aset6_2023-12-13_14h41.58.367.csv;1;av;syll;v3
