"ID";"trials_runs.thisN";"secondStim";"trials_runs.visual_stim_left";"trials_runs.presentationFrequncy";"response_runs.keys";"response_runs.rt";"trials_runs.correct_answer";"trials_runs.feedback_given";"session";"tsDifficulty";"prob.Feedback";"version";"totalAccuracy";"totalError";"outlier200ms";"outlierSD";"omission";"validTrials";"modality";"stimType";"logfile";"group";"trials_runs.visual_stim_right";"trials_runs.correctKey"
"CBC_1032";"22";"0";"0";"50";"b";"2,59093159999974887";"1";"1";"2";"easy";"0,95";"v1";"0,761904761904762";"0,2380952380952381";"0";"0";"0";"1";"tv";"vib";"CBC_1032_MSI_TV_v1_Vset3_Aset2_2023-10-20_11h31.15.953.csv";"children";NA;NA
"CBC_1032";"23";"2";"1";"50";"z";"2,03616710000096646";"0";"0";"2";"easy";"0,95";"v1";"0,727272727272727";"0,2727272727272727";"0";"0";"0";"1";"tv";"vib";"CBC_1032_MSI_TV_v1_Vset3_Aset2_2023-10-20_11h31.15.953.csv";"children";NA;NA
"CBC_1032";"24";"2";"1";"50";"None";NA;NA;"3";"2";"easy";"0,95";"v1";"0,727272727272727";"0,2727272727272727";NA;NA;"1";"0";"tv";"vib";"CBC_1032_MSI_TV_v1_Vset3_Aset2_2023-10-20_11h31.15.953.csv";"children";NA;NA
"CBC_1032";"25";"1";"2";"50";"b";"2,41402089999974123";"1";"1";"2";"easy";"0,95";"v1";"0,739130434782609";"0,2608695652173914";"0";"0";"0";"1";"tv";"vib";"CBC_1032_MSI_TV_v1_Vset3_Aset2_2023-10-20_11h31.15.953.csv";"children";NA;NA
"CBC_1032";"26";"2";"0";"36";"z";"-0,00661579999905371";"1";"1";"2";"easy";"0,95";"v1";"0,750000000000000";"0,2500000000000000";"1";"0";"0";"0";"tv";"vib";"CBC_1032_MSI_TV_v1_Vset3_Aset2_2023-10-20_11h31.15.953.csv";"children";NA;NA
"CBC_1032";"27";"0";"1";"14";"b";"2,16300190000038128";"0";"0";"2";"easy";"0,95";"v1";"0,720000000000000";"0,2800000000000000";"0";"0";"0";"1";"tv";"vib";"CBC_1032_MSI_TV_v1_Vset3_Aset2_2023-10-20_11h31.15.953.csv";"children";NA;NA
"CBC_1032";"28";"2";"0";"36";"b";"2,94416400000045542";"0";"0";"2";"easy";"0,95";"v1";"0,692307692307692";"0,3076923076923077";"0";"0";"0";"1";"tv";"vib";"CBC_1032_MSI_TV_v1_Vset3_Aset2_2023-10-20_11h31.15.953.csv";"children";NA;NA
"CBC_1032";"29";"1";"2";"50";"b";"2,69848320000164676";"1";"1";"2";"easy";"0,95";"v1";"0,703703703703704";"0,2962962962962963";"0";"0";"0";"1";"tv";"vib";"CBC_1032_MSI_TV_v1_Vset3_Aset2_2023-10-20_11h31.15.953.csv";"children";NA;NA
"CBC_1032";"30";"1";"2";"50";"z";"2,57235260000015842";"0";"0";"2";"easy";"0,95";"v1";"0,678571428571429";"0,3214285714285714";"0";"0";"0";"1";"tv";"vib";"CBC_1032_MSI_TV_v1_Vset3_Aset2_2023-10-20_11h31.15.953.csv";"children";NA;NA
"CBC_1032";"31";"2";"1";"50";"b";"2,38433470000018133";"1";"0";"2";"easy";"0,95";"v1";"0,689655172413793";"0,3103448275862069";"0";"0";"0";"1";"tv";"vib";"CBC_1032_MSI_TV_v1_Vset3_Aset2_2023-10-20_11h31.15.953.csv";"children";NA;NA
"CBC_1032";"32";"1";"2";"50";"z";"2,66456210000069404";"0";"0";"2";"easy";"0,95";"v1";"0,666666666666667";"0,3333333333333334";"0";"0";"0";"1";"tv";"vib";"CBC_1032_MSI_TV_v1_Vset3_Aset2_2023-10-20_11h31.15.953.csv";"children";NA;NA
"CBC_1032";"33";"2";"0";"36";"b";"3,40869860000202607";"0";"0";"2";"easy";"0,95";"v1";"0,645161290322581";"0,3548387096774194";"0";"0";"0";"1";"tv";"vib";"CBC_1032_MSI_TV_v1_Vset3_Aset2_2023-10-20_11h31.15.953.csv";"children";NA;NA
"CBC_1032";"34";"0";"2";"36";"b";"2,41840790000060224";"0";"0";"2";"easy";"0,95";"v1";"0,625000000000000";"0,3750000000000000";"0";"0";"0";"1";"tv";"vib";"CBC_1032_MSI_TV_v1_Vset3_Aset2_2023-10-20_11h31.15.953.csv";"children";NA;NA
"CBC_1032";"35";"1";"1";"36";"z";"2,35497400000167545";"1";"1";"2";"easy";"0,95";"v1";"0,636363636363636";"0,3636363636363636";"0";"0";"0";"1";"tv";"vib";"CBC_1032_MSI_TV_v1_Vset3_Aset2_2023-10-20_11h31.15.953.csv";"children";NA;NA
"CBC_1032";"36";"0";"0";"50";"b";"0,10382140000183426";"1";"1";"2";"easy";"0,95";"v1";"0,647058823529412";"0,3529411764705882";"1";"0";"0";"0";"tv";"vib";"CBC_1032_MSI_TV_v1_Vset3_Aset2_2023-10-20_11h31.15.953.csv";"children";NA;NA
"CBC_1032";"37";"2";"1";"50";"z";"2,27578310000171768";"0";"0";"2";"easy";"0,95";"v1";"0,628571428571429";"0,3714285714285714";"0";"0";"0";"1";"tv";"vib";"CBC_1032_MSI_TV_v1_Vset3_Aset2_2023-10-20_11h31.15.953.csv";"children";NA;NA
"CBC_1032";"38";"0";"2";"36";"b";"2,79985010000018519";"0";"0";"2";"easy";"0,95";"v1";"0,611111111111111";"0,3888888888888888";"0";"0";"0";"1";"tv";"vib";"CBC_1032_MSI_TV_v1_Vset3_Aset2_2023-10-20_11h31.15.953.csv";"children";NA;NA
"CBC_1032";"39";"1";"0";"14";"z";"1,79340040000170120";"1";"1";"2";"easy";"0,95";"v1";"0,621621621621622";"0,3783783783783784";"0";"0";"0";"1";"tv";"vib";"CBC_1032_MSI_TV_v1_Vset3_Aset2_2023-10-20_11h31.15.953.csv";"children";NA;NA
"CBC_1032";"40";"2";"2";"14";"b";"2,46176750000086031";"0";"0";"2";"easy";"0,95";"v1";"0,605263157894737";"0,3947368421052632";"0";"0";"0";"1";"tv";"vib";"CBC_1032_MSI_TV_v1_Vset3_Aset2_2023-10-20_11h31.15.953.csv";"children";NA;NA
"CBC_1032";"41";"0";"0";"50";"z";"3,25523140000223066";"0";"0";"2";"easy";"0,95";"v1";"0,589743589743590";"0,4102564102564102";"0";"0";"0";"1";"tv";"vib";"CBC_1032_MSI_TV_v1_Vset3_Aset2_2023-10-20_11h31.15.953.csv";"children";NA;NA
"CBC_1039";"0";"2";"0";"50";"z";"2,43208249999952386";"1";"1";"2";"easy";"0,95";"v1";"1,000000000000000";"0,0000000000000000";"0";"0";"0";"1";"av";"env";"CBC_1039_MSI_AV_v1_Vset6_Aset3_2024-01-31_14h41.16.850.csv";"children";NA;NA
"CBC_1039";"1";"1";"2";"50";"z";"2,58293719999983296";"1";"1";"2";"easy";"0,95";"v1";"1,000000000000000";"0,0000000000000000";"0";"0";"0";"1";"av";"env";"CBC_1039_MSI_AV_v1_Vset6_Aset3_2024-01-31_14h41.16.850.csv";"children";NA;NA
"CBC_1039";"2";"0";"0";"36";"b";"2,29098559999965801";"1";"1";"2";"easy";"0,95";"v1";"1,000000000000000";"0,0000000000000000";"0";"0";"0";"1";"av";"env";"CBC_1039_MSI_AV_v1_Vset6_Aset3_2024-01-31_14h41.16.850.csv";"children";NA;NA
"CBC_1039";"3";"1";"1";"36";"z";"2,36830069999996340";"0";"0";"2";"easy";"0,95";"v1";"0,750000000000000";"0,2500000000000000";"0";"0";"0";"1";"av";"env";"CBC_1039_MSI_AV_v1_Vset6_Aset3_2024-01-31_14h41.16.850.csv";"children";NA;NA
